BLDGID,MEAN_AVGHT,Lat,Lon,area_total
1,1.74,41.867863,-87.628662,285.41
2,2.17,41.867859,-87.62982199999998,313.14
4,2.97,41.867859,-87.62982199999998,251.16
5,3.03,41.867863,-87.628662,288.21
10,3.73,41.86787,-87.62640400000002,282.49
11,8.94,41.867859,-87.62982199999998,754.84
12,8.66,41.867863,-87.628662,754.84
14,17.77,41.86787,-87.62640400000002,5975.49
15,8.31,41.86787800000001,-87.625244,5323.7
17,9.03,41.867859,-87.62982199999998,754.85
18,8.72,41.867863,-87.628662,754.85
19,12.03,41.867023,-87.62640400000002,7470.48
20,92.27,41.86787800000001,-87.625244,57765.85
21,9.1,41.867859,-87.62982199999998,754.83
22,8.72,41.867863,-87.628662,754.84
23,7.6,41.86787,-87.627533,277.11
24,8.73,41.867859,-87.62982199999998,754.84
25,8.8,41.867863,-87.628662,754.85
29,3.16,41.867859,-87.62982199999998,212.72
30,3.2,41.867863,-87.628662,202.21
31,6.94,41.86787,-87.627533,321.52
32,15.57,41.867863,-87.628662,11525.83
33,3.1,41.86871,-87.62982199999998,287.75
34,2.99,41.86871,-87.628693,287.76
35,9.01,41.86871,-87.62982199999998,777.71
36,8.42,41.86871,-87.628693,777.71
37,22.36,41.86787,-87.62640400000002,12836.72
38,8.9,41.86871,-87.62982199999998,426.33
39,8.79,41.86871,-87.628693,426.34
41,33.28,41.868675,-87.635529,11190.57
45,6.86,41.868717,-87.627563,309.11
46,12.51,41.867851,-87.630951,51734.1
48,7.48,41.868717,-87.627563,269.96
49,15.46,41.86871,-87.628693,11572.7
50,3.68,41.868671,-87.636658,223.63
51,5.42,41.86871,-87.62982199999998,4257.49
52,25.01,41.86787,-87.627533,65038.67
53,5.39,41.86871,-87.62982199999998,4424.07
55,31.43,41.868725,-87.62640400000002,35773.8
56,36.98,41.86787800000001,-87.625244,150984.79
57,4.88,41.869514,-87.636688,164.32
59,3.34,41.86953,-87.63324,261.21
61,11.49,41.868671,-87.636658,3319.28
64,3.66,41.869514,-87.636688,163.43
68,12.7,41.869568,-87.627563,6803.81
70,19.58,41.867798,-87.638947,85153.09
71,23.84,41.869579,-87.625275,10589.69
72,7.37,41.869568,-87.627563,370.72
74,24.99,41.869579,-87.625275,14361.41
75,5.34,41.86956,-87.62982199999998,4766.52
76,5.21,41.86956,-87.62982199999998,4209.18
77,7.44,41.869568,-87.627563,386.18
78,15.6,41.869564,-87.628693,11964.42
79,22.16,41.867832,-87.63324,148735.55
82,52.07,41.870407,-87.628723,13307.54
84,5.08,41.869568,-87.627563,3563.75
85,5.7,41.86956,-87.62982199999998,0.0
86,3.28,41.870365,-87.637817,235.84
87,5.49,41.86956,-87.62982199999998,4034.71
88,16.52,41.869568,-87.62640400000002,35991.79
91,75.18,41.870434,-87.625275,74022.45
92,10.73,41.869549,-87.630981,10402.42
98,3.91,41.870365,-87.637817,0.0
99,3.66,41.870373,-87.636688,605.45
100,63.84,41.870392,-87.630981,42305.17
101,46.53,41.870434,-87.625275,9876.54
103,7.11,41.870365,-87.637817,2087.29
104,41.21,41.870407,-87.628723,20472.32
105,44.19,41.870422,-87.626434,49959.61
109,10.94,41.87122,-87.635559,2827.05
110,5.42,41.870399,-87.629852,5710.31
113,45.35,41.870419,-87.627563,80254.33
114,52.12,41.871277,-87.626434,43059.35
115,14.39,41.871277,-87.62530500000003,18515.21
116,27.04,41.871277,-87.62530500000003,42354.27
121,21.44,41.871254,-87.629852,14006.31
122,26.98,41.87037700000001,-87.634399,107087.96
123,39.19,41.872078,-87.633301,17997.97
124,21.03,41.87125800000001,-87.628723,29402.38
125,10.49,41.871254,-87.629852,15654.25
126,11.66,41.872063,-87.636719,615.25
131,52.82,41.872078,-87.633301,16993.83
132,35.93,41.872093,-87.631012,11906.07
133,8.22,41.872086,-87.632141,403.84
141,32.22,41.872108,-87.62759399999999,40090.55
153,8.75,41.87294,-87.632141,111.81
154,31.83,41.872078,-87.633301,20725.71
173,12.24,41.872101,-87.629852,8670.61
197,16.87,41.872967,-87.62759399999999,1687.97
204,10.54,41.872971,-87.626465,9716.95
211,46.53,41.872128,-87.62530500000003,213532.77
220,42.44,41.87295200000001,-87.62988299999998,15853.6
257,20.9,41.872948,-87.631012,6776.35
273,5.38,41.872971,-87.626465,4714.76
305,28.87,41.872955,-87.628723,23923.18
323,9.17,41.873795,-87.631012,3632.11
419,31.19,41.872105,-87.628723,59710.8
599,13.28,41.873814,-87.626465,9866.64
603,43.17,41.872982,-87.62530500000003,177629.75
620,24.34,41.872047,-87.638977,414615.57
643,13.18,41.874607,-87.636719,181.54
655,53.52,41.872925,-87.633301,119167.37
656,35.78,41.873775,-87.633301,19623.22
657,5.35,41.873795,-87.631012,1561.25
661,28.21,41.873795,-87.631012,23262.74
665,38.79,41.872093,-87.631012,100071.74
668,30.01,41.872101,-87.629852,71988.57
671,74.59,41.873798,-87.62988299999998,46857.05
675,15.67,41.873798,-87.628723,19644.48
998,51.04,41.874638,-87.63104200000002,0.0
1449,30.61,41.875481,-87.633301,4516.65
1498,27.24,41.874657,-87.628754,17981.29
1534,42.51,41.874649,-87.62988299999998,38326.57
1574,49.22,41.874638,-87.63104200000002,28472.35
1580,36.29,41.874649,-87.62988299999998,25880.84
1586,26.71,41.874657,-87.628754,18288.3
1609,52.82,41.874664,-87.627625,44058.03
1623,38.41,41.874638,-87.63104200000002,81355.63
1697,13.73,41.87546500000001,-87.63559000000002,241.89
1700,17.49,41.874599,-87.637878,40048.93
1709,39.88,41.874664,-87.627625,75127.34
1755,26.26,41.875515,-87.626465,21690.6
1779,28.02,41.874676,-87.625336,90214.74
2248,5.51,41.875492,-87.62988299999998,668.45
2251,30.13,41.875515,-87.626465,13851.12
2726,9.2,41.875481,-87.633301,7364.05
2861,16.94,41.876305,-87.636749,14018.56
2868,6.75,41.876369,-87.62649499999998,2754.89
3225,55.49,41.874599,-87.637878,97337.06
3283,8.17,41.876328,-87.63333100000001,1638.39
3296,24.53,41.875492,-87.62988299999998,40644.52
3346,141.68,41.87632,-87.63446,96267.38
3353,28.73,41.87632,-87.63446,11330.45
3363,17.47,41.876328,-87.63333100000001,9498.55
3372,39.43,41.875484,-87.632172,48280.9
3375,11.93,41.876339,-87.63104200000002,12591.04
3416,54.5,41.87549600000001,-87.628754,43130.38
3421,47.61,41.87549600000001,-87.628754,121960.34
3476,38.81,41.875507,-87.627625,75573.74
3500,16.63,41.876343,-87.629913,0.0
3507,69.15,41.876373,-87.625336,0.0
3518,47.46,41.875526,-87.625336,184934.75
3553,9.89,41.877209,-87.62649499999998,312.69
3684,9.43,41.877186,-87.632202,1246.94
3713,10.69,41.877193,-87.628784,6121.09
3718,8.36,41.877209,-87.62649499999998,411.92
3932,46.8,41.877167,-87.63446,19327.27
4958,129.83,41.877151,-87.636749,186219.86
5089,84.03,41.877136,-87.639038,0.0
5099,52.68,41.877205,-87.627625,88732.3
5100,108.53,41.877151,-87.636749,56739.87
5108,49.34,41.87801,-87.634491,23463.31
5113,33.97,41.877167,-87.63446,87173.04
5114,84.11,41.877178,-87.63333100000001,226759.69
5133,46.17,41.87294,-87.632141,538351.89
5152,72.49,41.877186,-87.63104200000002,90138.58
5153,59.84,41.87719,-87.629913,54238.02
5160,50.42,41.87719,-87.629913,64306.58
5172,83.6,41.878029,-87.632202,68877.34
5178,33.98,41.877193,-87.628784,46214.38
5187,54.32,41.877193,-87.628784,49671.04
5277,60.48,41.878067,-87.62649499999998,40999.55
5347,94.92,41.877224,-87.625366,398666.41
5845,10.05,41.878006,-87.63561999999997,2680.74
5914,2.28,41.878853,-87.63678,134.91
6077,141.54,41.878044,-87.629913,119099.21
6213,53.63,41.877995,-87.637909,33456.85
6229,63.09,41.87801,-87.634491,109508.18
6281,21.89,41.878052,-87.628784,20591.53
6291,80.27,41.878029,-87.632202,140929.95
6343,70.98,41.878021,-87.633362,120810.32
6823,11.45,41.878872,-87.633362,1744.27
6854,10.53,41.878872,-87.633362,1370.27
6855,15.02,41.878899,-87.628784,579.31
7043,166.18,41.878853,-87.63678,344360.91
7192,116.57,41.878845,-87.637909,86599.51
7196,11.51,41.878857,-87.63561999999997,28315.08
7200,94.73,41.878052,-87.628784,138949.92
7207,73.76,41.878872,-87.633362,0.0
7236,88.59,41.878895,-87.631073,60296.52
7239,46.56,41.878883,-87.632202,45468.04
7240,9.46,41.878895,-87.631073,14235.17
7254,44.02,41.878899,-87.628784,39508.94
7297,44.64,41.878056,-87.627625,82099.27
7319,39.37,41.878067,-87.62649499999998,83361.25
7336,49.8,41.878067,-87.625366,171187.34
8063,94.58,41.87968400000001,-87.637939,52113.85
8117,38.85,41.879761,-87.626526,24590.49
8330,49.71,41.879704,-87.635651,54489.63
8340,10.44,41.878914,-87.626526,2521.97
8398,34.21,41.879719,-87.633362,38841.21
8402,158.01,41.879719,-87.633362,114271.93
8403,117.64,41.8797,-87.63678,72397.38
8440,91.13,41.879723,-87.632202,179723.14
8472,60.74,41.87973,-87.631073,125306.64
8487,96.6,41.879745,-87.628784,214475.04
8495,3.41,41.87968400000001,-87.637939,139.96
8547,10.02,41.878914,-87.626526,2985.71
9170,72.33,41.8797,-87.63678,68363.9
9182,120.41,41.8797,-87.63678,205939.86
9193,135.97,41.879715,-87.634491,451433.65
9208,41.32,41.880566,-87.63452099999998,15686.07
9225,43.86,41.879719,-87.633362,83256.51
9232,105.77,41.879723,-87.632202,0.0
9253,33.33,41.87973,-87.631073,35258.34
9256,25.97,41.879745,-87.628784,21696.94
9257,96.17,41.879745,-87.628784,120683.73
9259,109.45,41.879738,-87.629944,78638.04
9307,58.78,41.879757,-87.627655,203684.76
9321,16.03,41.878918,-87.624237,41400.67
9325,67.37,41.879772,-87.625366,149309.94
9420,3.48,41.880581,-87.629944,189.07
9535,6.34,41.880581,-87.63110400000002,1996.72
9567,4.8,41.880581,-87.629944,800.43
9601,123.25,41.880547,-87.63678,209583.13
9604,36.85,41.880592,-87.628815,7713.67
9608,53.99,41.880577,-87.632233,80476.08
9610,95.8,41.880562,-87.635651,69696.39
9620,79.75,41.880566,-87.63452099999998,76241.89
9623,54.18,41.880569,-87.633362,75559.13
9625,62.4,41.880592,-87.628815,20465.59
9655,43.73,41.880592,-87.628815,21747.44
9776,106.63,41.881428,-87.63110400000002,46534.27
9923,78.23,41.880615,-87.62539699999998,128864.61
10102,125.31,41.880543,-87.637939,318953.75
10105,123.32,41.881393,-87.63678,140599.95
10108,30.27,41.881397,-87.635651,57755.42
10119,106.4,41.881397,-87.635651,46754.14
10121,155.9,41.881416,-87.633362,129451.4
10141,129.14,41.881416,-87.633362,99586.96
10151,45.31,41.881428,-87.63110400000002,25331.57
10153,71.72,41.881424,-87.632233,83576.04
10157,171.1,41.881428,-87.63110400000002,283570.83
10182,38.32,41.880592,-87.628815,62671.56
10183,117.11,41.881443,-87.628815,105737.46
10231,50.16,41.880604,-87.627686,200254.52
10250,79.17,41.881462,-87.626526,40985.16
10279,51.39,41.880615,-87.62539699999998,110945.16
10858,11.18,41.881462,-87.626526,3192.38
10951,102.52,41.882275,-87.632263,56931.09
10952,114.96,41.882286,-87.63110400000002,190733.77
10953,80.56,41.88229000000001,-87.628845,127012.85
10954,147.32,41.882271,-87.63452099999998,121372.19
10955,60.44,41.882275,-87.632263,69136.61
10957,137.72,41.882256,-87.635681,86718.57
10967,148.39,41.882244,-87.63681,195468.37
11140,5.01,41.88229000000001,-87.629974,280.99
11484,11.57,41.882275,-87.633392,3221.58
11495,11.61,41.882275,-87.633392,0.0
11550,145.67,41.882275,-87.633392,124467.94
11581,54.52,41.882305,-87.62539699999998,96930.51
11586,57.52,41.882305,-87.62539699999998,98999.61
11606,64.66,41.882294,-87.627686,224363.03
11608,110.35,41.88229000000001,-87.629974,99566.99
11619,46.25,41.88229000000001,-87.628845,85582.76
11632,76.62,41.882275,-87.632263,141825.49
11634,112.93,41.882256,-87.635681,71381.0
11637,54.81,41.882275,-87.633392,140876.45
11640,79.5,41.882286,-87.63110400000002,37398.57
11658,68.51,41.882271,-87.63452099999998,0.0
11677,86.31,41.88224,-87.637939,208116.18
11678,37.59,41.882244,-87.63681,16613.54
11682,67.91,41.882244,-87.63681,74513.09
11851,5.99,41.883156,-87.62655600000002,122.03
11967,4.22,41.883133,-87.629974,148.19
12017,2.79,41.883133,-87.629974,193.29
12377,3.39,41.883133,-87.629974,139.38
12571,65.67,41.883114,-87.633392,107374.93
12579,3.13,41.883991,-87.629974,822.41
12584,2.82,41.88398400000001,-87.631134,600.72
12593,56.73,41.883095,-87.635681,107576.88
12604,87.59,41.883095,-87.63681,76629.56
13129,177.85,41.88398400000001,-87.631134,226461.59
13173,123.43,41.88395300000001,-87.635681,117565.58
13175,19.85,41.883095,-87.637939,0.0
13200,51.61,41.883118,-87.632263,194906.56
13202,24.74,41.883163,-87.625427,45381.44
13206,92.04,41.883156,-87.62655600000002,176447.4
13227,56.09,41.883957,-87.634552,27380.62
13231,112.47,41.883942,-87.636841,75503.21
13242,14.41,41.883938,-87.63797,0.0
13244,33.96,41.883144,-87.628845,141519.49
13255,62.17,41.883148,-87.627686,266788.33
13263,44.73,41.883965,-87.633423,80739.09
13565,4.33,41.88486500000001,-87.624298,153.58
13767,8.74,41.8848,-87.635681,2684.71
13909,134.7,41.884861,-87.625427,76722.15
13987,16.15,41.884857,-87.626587,19972.67
14004,75.17,41.884811,-87.633423,57234.8
14037,51.18,41.884846,-87.628845,100286.42
14054,22.4,41.8848,-87.635681,6329.02
14056,18.29,41.884804,-87.634552,16107.7
14058,138.96,41.8848,-87.636841,174058.1
14077,41.85,41.88485,-87.627716,0.0
14256,2.92,41.8857,-87.626587,148.11
14389,8.46,41.884811,-87.633423,1464.03
14398,9.67,41.884811,-87.633423,1215.48
14597,106.41,41.88486500000001,-87.624298,0.0
14669,35.44,41.884861,-87.625427,35461.75
14674,49.89,41.884861,-87.625427,0.0
14692,30.56,41.88485,-87.627716,59865.44
14697,49.88,41.884823,-87.631134,192558.26
14701,139.41,41.8848,-87.636841,110533.48
14705,66.31,41.884811,-87.633423,161962.39
14711,60.63,41.884815,-87.632263,0.0
14713,34.36,41.884846,-87.628845,67912.77
14714,56.4,41.88478900000001,-87.63797,44285.61
14718,13.32,41.8848,-87.635681,27335.64
14720,36.54,41.8848,-87.635681,38374.67
14794,10.15,41.885689,-87.627716,641.13
14933,11.85,41.88567000000001,-87.632263,6032.8
14938,11.99,41.885662,-87.634552,182.54
14944,9.57,41.885689,-87.627716,677.54
15400,43.24,41.885689,-87.627716,63638.39
15419,54.6,41.8857,-87.626587,49787.81
15460,84.35,41.885662,-87.633423,106185.22
15461,80.12,41.885662,-87.634552,58732.09
15641,130.33,41.885643,-87.636841,124719.1
15719,110.09,41.885719,-87.624298,226660.3
15879,69.38,41.886532,-87.63000500000003,35872.55
15886,42.59,41.885708,-87.625427,56926.14
15897,55.85,41.886547,-87.626587,49102.53
15943,95.41,41.886543,-87.627747,148130.04
15948,80.88,41.886517,-87.63229399999999,112614.98
15966,84.38,41.88567000000001,-87.632263,565480.81
15970,89.34,41.885651,-87.635712,96143.97
15979,89.27,41.886509,-87.633423,124059.49
15983,68.83,41.886509,-87.63458299999998,55117.65
16395,58.1,41.886547,-87.625458,10020.1
16526,77.78,41.88657,-87.624298,23135.86
16941,20.63,41.886547,-87.625458,21757.03
16953,44.16,41.886547,-87.625458,48278.8
17163,68.68,41.887413,-87.624329,11660.55
329702,112.41,41.879772,-87.625366,222535.19
